Ticker,DLV_Date,Year
TYZ2017,2017-12-29,2017
TUH2018,2018-04-04,2018
TUM2018,2018-07-05,2018
TUU2018,2018-10-03,2018
TUZ2018,2019-01-04,2018
FVH2018,2018-04-04,2018
FVM2018,2018-07-05,2018
FVU2018,2018-10-03,2018
FVZ2018,2019-01-04,2018
TYH2018,2018-03-29,2018
TYM2018,2018-06-29,2018
TYU2018,2018-09-28,2018
TYZ2018,2018-12-31,2018
TUH2019,2019-04-03,2019
TUM2019,2019-07-03,2019
TUU2019,2019-10-03,2019
TUZ2019,2020-01-06,2019
FVH2019,2019-04-03,2019
FVM2019,2019-07-03,2019
FVU2019,2019-10-03,2019
FVZ2019,2020-01-06,2019
TYH2019,2019-03-29,2019
TYM2019,2019-06-28,2019
TYU2019,2019-09-30,2019
TYZ2019,2019-12-31,2019
TUH2020,2020-04-03,2020
TUM2020,2020-07-06,2020
TUU2020,2020-10-05,2020
TUZ2020,2021-01-06,2020
FVH2020,2020-04-03,2020
FVM2020,2020-07-06,2020
FVU2020,2020-10-05,2020
FVZ2020,2021-01-06,2020
TYH2020,2020-03-31,2020
TYM2020,2020-06-30,2020
TYU2020,2020-09-30,2020
TYZ2020,2020-12-31,2020
TUH2021,2021-04-05,2021
TUM2021,2021-07-06,2021
TUU2021,2021-10-05,2021
TUZ2021,2022-01-05,2021
FVH2021,2021-04-05,2021
FVM2021,2021-07-06,2021
FVU2021,2021-10-05,2021
FVZ2021,2022-01-05,2021
TYH2021,2021-03-31,2021
TYM2021,2021-06-30,2021
TYU2021,2021-09-30,2021
TYZ2021,2021-12-31,2021
TUH2022,2022-04-05,2022
TUM2022,2022-07-06,2022
TUU2022,2022-10-05,2022
TUZ2022,2023-01-05,2022
FVH2022,2022-04-05,2022
FVM2022,2022-07-06,2022
FVU2022,2022-10-05,2022
FVZ2022,2023-01-05,2022
TYH2022,2022-03-31,2022
TYM2022,2022-06-30,2022
TYU2022,2022-09-30,2022
TYZ2022,2022-12-30,2022
TUH2023,2023-04-05,2023
TUM2023,2023-07-06,2023
TUU2023,2023-10-04,2023
TUZ2023,2024-01-04,2023
FVH2023,2023-04-05,2023
FVM2023,2023-07-06,2023
FVU2023,2023-10-04,2023
FVZ2023,2024-01-04,2023
TYH2023,2023-03-31,2023
TYM2023,2023-06-30,2023
TYU2023,2023-09-29,2023
TYZ2023,2023-12-29,2023
TUH2024,2024-04-03,2024
TUM2024,2024-07-03,2024
TUU2024,2024-10-03,2024
TUZ2024,2025-01-06,2024
FVH2024,2024-04-03,2024
FVM2024,2024-07-03,2024
FVU2024,2024-10-03,2024
FVZ2024,2025-01-06,2024
TYH2024,2024-03-28,2024
TYM2024,2024-06-28,2024
TYU2024,2024-09-30,2024
TYZ2024,2024-12-31,2024
TUH2025,2025-04-03,2025
TUM2025,2025-07-03,2025
TUU2025,2025-10-03,2025
TUZ2025,2026-01-06,2025
FVH2025,2025-04-03,2025
FVM2025,2025-07-03,2025
FVU2025,2025-10-03,2025
FVZ2025,2026-01-06,2025
TYH2025,2025-03-31,2025
TYM2025,2025-06-30,2025
TYU2025,2025-09-30,2025
TYZ2025,2025-12-31,2025
